電號,收費月份,用電度數,應繳總金額,用電種類,饋線別,停電組別,停電日期,停電日數,電燈用途別,半尖峰度數,電子帳單優惠減收金額,遲付費用,較去年同期度,優惠金額,經常尖峰需量,去年下期用電日數,去年同期應繳總金額,本期較前期度,週六半尖峰需量,底度,本期用電日數,基本電費非約定,流動電費,稅前應繳總金額,去年同期用電度數,優惠度數,半尖峰非夏月需量,功率因數調整費,基本電費約定,減少用電量,經常尖峰契約,功率因數,離峰需量,離峰度數,加減收金額,經常度數,去年下期用電度數,尖峰度數,去年同期用電日數,營業稅,其他加減收,週六半尖峰度數
09-02-0354-00-9,2025-10-01T00:00:00.000Z,5280,28199,,JR30,B,,0,D13,,,,,,16,33,21889,,,,30,,21542.4,26856,4400,,,-429.4,7086,,30,100,,,,5280,5200,,29,1343,,
09-05-7116-00-8,2025-10-01T00:00:00.000Z,95280,360353,,JK25,E,,,,31200,-10,,17700,-10198.7,241,31,299491,-4260,229,,,48521.2,292660.8,343193,77580,77580,236,-4779.4,36446.8,,163,99,208,37500,,,70260,18120,30,17160,,8460
09-05-7116-10-0,2025-10-01T00:00:00.000Z,2520,13075,,JK25,E,,0,,,,,,-407.6,13,33,16204,,,,34,,6501.6,,3880,2520,,-105.4,7086,,30,88,,,,2520,4080,,29,,,
09-10-1668-10-2,2025-09-01T00:00:00.000Z,40,200,,JW31,E,,0,F03,,,,,,,60,891,,,40,60,,200,190,439,,,,,,,,,,,40,118,,63,10,,
09-10-1668-18-0,2025-10-01T00:00:00.000Z,0,901,,JW31,E,,0,H01,,-10,,,,,31,,,,,33,,0,858,0,,,,911.2,,8,,,,,0,8,,29,43,,
09-11-5365-00-4,2025-09-01T00:00:00.000Z,4385,28626,,JA29,C,,0,D09,,,,,,,62,17917,,,40,62,,28627.3,27263,3119,,,,,0,,,,,-1.1,4385,2836,,63,1363,,
09-16-6190-00-0,2025-10-01T00:00:00.000Z,1382391,5103897,,JK58,B,,,,543847,-10,,-23449,-182727.3,3396,31,5054505,239300,2463,,,46398.2,4512647.1,4860854,1405840,1382391,3739,-77371.1,804960,,3600,100,2815,449683,,,1338399,282540,30,243043,,106321
09-16-6190-13-5,2025-10-01T00:00:00.000Z,91240,314092,,JW27,H,,,,28440,-10,,14680,-11047.9,201,31,252451,7080,203,,,11731,277818.8,299135,76560,76560,206,-4647.9,40248,,180,96,178,37360,,,77480,17480,30,14957,,7960
09-16-6291-00-2,2025-10-01T00:00:00.000Z,158640,618968,,JK58,B,,,,42960,-10,,-31080,-19435.1,525,31,679992,80640,321,,,,509654.4,589493,189720,158640,498,-9426,138184.8,,618,100,488,64200,,,206640,39960,30,29475,,11520
09-16-8246-20-4,2025-09-01T00:00:00.000Z,200,5230,,JA33,H,,0,,,-10,,,,2,32,,,,,29,,516,4981,0,,,,4724,,20,,,,,200,40,,30,249,,
