帳單年,帳單月,總用電度,校區,用電建築物,公開報表序號
102,02,0.0,蘭潭,單身宿舍、蘭潭招待所,A405
102,02,0.0,蘭潭,機械及能源學系、創新育成大樓、工友室、獸醫養殖池,A206
102,02,0.0,蘭潭,游泳池、司令台、運動場,A406
102,02,0.0,蘭潭,瑞穗館、警衛室、學生活動廣場,A404
102,02,23987.0,蘭潭,園藝技藝中心、溫室、生物機械產業實驗室,A105
102,02,563.0,蘭潭,食品科學館,A304
102,02,1718.0,蘭潭,食品加工廠,A305
102,02,187.0,蘭潭,生物機械產業實驗室,A207
102,02,354.0,蘭潭,機電館、機能系二館,A208
102,02,4154.0,蘭潭,生技健康館,A306
102,02,2089.0,蘭潭,景觀學系大樓,A106
102,02,5899.0,蘭潭,園藝場管理室、溫室、水井,A108
102,02,39290.0,蘭潭,圖書資訊館,A408
102,02,27092.0,蘭潭,綜合教學大樓,A307
102,02,5267.0,蘭潭,蘭潭綜合大樓5-7F,A308
102,02,7438.0,蘭潭,蘭潭綜合大樓5-7F,A309
102,02,788.0,蘭潭,蘭潭綜合大樓5-7F,A310
102,02,4.0,蘭潭,有機蔬菜溫室,A115
102,02,34.0,蘭潭,有機蔬菜溫室,A116
102,02,1194.0,蘭潭,生資系溫室,A311
102,02,1044.0,蘭潭,菇舍,A109
102,02,2517.0,蘭潭,嘉禾館,A402
102,02,0.0,蘭潭,動物試驗場,A110
102,02,0.0,蘭潭,木材利用工廠、水禽舍,A111
102,02,0.0,蘭潭,動物產品推廣中心,A112
102,02,0.0,蘭潭,水禽舍,A113
102,02,0.0,民雄,綠園一舍、綠園二舍、餐廳、警衛室、學人宿舍,B301
102,02,0.0,民雄,樂育堂、工友室、游泳池、司令台、運動場,B101
102,02,0.0,民雄,行政大樓、初教館,B102
102,02,0.0,民雄,圖書館、教育館,B103
102,02,0.0,民雄,科學館,B104
102,02,0.0,民雄,人文館,B201
102,02,0.0,民雄,音樂館、藝術館、新藝樓、文薈廳、社團教室,B202
102,02,4840.0,新民,明德樓,D302
102,02,None,新民,管理學院B棟、司令台,D102
102,02,324.0,新民,司令台,D301
102,02,86895.0,新民,管理學院A、B棟、明德樓、司令台、警衛室,D101
102,03,660.0,蘭潭,應化一館(理化館)3相220V,A201
102,03,21610.0,蘭潭,行政大樓,A401
102,03,1531.0,蘭潭,應化一館(理化館)3相4線110/190V,A202
102,03,78672.0,蘭潭,電物一館、電物二館、應化二館、農藝場管理室,A203
102,03,33369.0,蘭潭,森林館、生物多樣性館、森林系溫室苗圃,A101
102,03,5863.0,蘭潭,嘉禾館,A402
102,03,21257.0,蘭潭,動物科學館,A102
102,03,28865.0,蘭潭,學生活動中心,A403
102,03,53956.0,蘭潭,水生館、魚類保育研究中心,A301
102,03,32990.0,蘭潭,生命科學館,A302
102,03,17789.0,蘭潭,生物資源館,A303
102,03,55891.0,蘭潭,生農一館、生農二館、植醫系館、溫室,A103
102,03,21615.0,蘭潭,國際交流學園,A104
102,03,10579.0,蘭潭,材料試驗場,A205
102,03,10554.0,蘭潭,瑞穗館、警衛室、學生活動廣場,A404
102,03,7662.0,蘭潭,機械及能源學系、創新育成大樓、工友室、獸醫養殖池,A206
102,03,11963.0,蘭潭,單身宿舍、蘭潭招待所,A405
102,03,13541.0,蘭潭,游泳池、司令台、運動場,A406
102,03,3209.0,蘭潭,蘭潭招待所,A407
102,03,2259.0,蘭潭,食品科學館,A304
102,03,10100.0,蘭潭,食品加工廠,A305
102,03,879.0,蘭潭,生物機械產業實驗室,A207
102,03,2387.0,蘭潭,機電館、機能系二館,A208
102,03,71671.0,蘭潭,園藝技藝中心、溫室、生物機械產業實驗室,A105
102,03,17995.0,蘭潭,生技健康館,A306
102,03,4256.0,蘭潭,景觀學系大樓,A106
102,03,87507.0,蘭潭,綜合教學大樓,A307
102,03,22622.0,蘭潭,園藝場管理室、溫室、水井,A108
102,03,143852.0,蘭潭,圖書資訊館,A408
102,03,0.0,蘭潭,菇舍,A109
102,03,0.0,蘭潭,植物園,A409
102,03,7936.0,蘭潭,動物試驗場,A110
102,03,5758.0,蘭潭,木材利用工廠、水禽舍,A111
102,03,3055.0,蘭潭,動物產品推廣中心,A112
102,03,0.0,蘭潭,水禽舍,A113
102,03,201989.0,新民,管理學院A、B棟、明德樓、司令台、警衛室,D101
102,03,445.0,新民,司令台,D301
102,03,40476.0,新民,管理學院B棟、司令台,D102
102,03,6470.0,新民,明德樓,D302
102,03,0.0,新民,嘉大動物醫院、溫室、游泳池,D201
102,03,0.0,新民,溫室,D103
102,03,0.0,新民,游泳池,D303
102,03,78902.0,民雄,綠園一舍、綠園二舍、餐廳、警衛室、學人宿舍,B301
102,03,34482.0,民雄,樂育堂、工友室、游泳池、司令台、運動場,B101
102,03,24652.0,民雄,行政大樓、初教館,B102
102,03,26554.0,民雄,圖書館、教育館,B103
102,03,2049.0,民雄,科學館,B104
102,03,18819.0,民雄,人文館,B201
102,03,26453.0,民雄,音樂館、藝術館、新藝樓、文薈廳、社團教室,B202
102,03,5871.0,民雄,游泳池、司令台、運動場,B303
102,03,9597.0,民雄,學人宿舍,B302
102,03,4500.0,民雄,教育館,B105
102,04,823.0,蘭潭,應化一館(理化館)3相220V,A201
102,04,20141.0,蘭潭,行政大樓,A401
100,05,11970.0,蘭潭,單身宿舍、蘭潭招待所,A405
100,05,3252.0,蘭潭,機械及能源學系、創新育成大樓、工友室、獸醫養殖池,A206
100,05,25309.0,蘭潭,游泳池、司令台、運動場,A406
100,05,1402.0,蘭潭,瑞穗館、警衛室、學生活動廣場,A404
100,05,73667.0,蘭潭,園藝技藝中心、溫室、生物機械產業實驗室,A105
100,05,17133.0,蘭潭,食品科學館,A304
100,05,11057.0,蘭潭,食品加工廠,A305
100,05,1362.0,蘭潭,生物機械產業實驗室,A207
100,05,14026.0,蘭潭,機電館、機能系二館,A208
100,05,None,蘭潭,生技健康館,A306
100,05,None,蘭潭,景觀學系大樓,A106
100,05,32399.0,蘭潭,園藝場管理室、溫室、水井,A108
100,05,148704.0,蘭潭,圖書資訊館,A408
100,05,106708.0,蘭潭,綜合教學大樓,A307
100,05,39267.0,蘭潭,蘭潭綜合大樓5-7F,A308
100,05,26117.0,蘭潭,蘭潭綜合大樓5-7F,A309
100,05,7341.0,蘭潭,蘭潭綜合大樓5-7F,A310
100,05,22.0,蘭潭,有機蔬菜溫室,A115
100,05,40.0,蘭潭,有機蔬菜溫室,A116
100,05,1441.0,蘭潭,生資系溫室,A311
100,05,463.0,蘭潭,菇舍,A109
100,05,6411.0,蘭潭,嘉禾館,A402
100,05,7043.0,蘭潭,動物試驗場,A110
100,05,376.0,蘭潭,木材利用工廠、水禽舍,A111
100,05,18.0,蘭潭,動物產品推廣中心,A112
100,05,1241.0,蘭潭,水禽舍,A113
100,05,145870.0,民雄,綠園一舍、綠園二舍、餐廳、警衛室、學人宿舍,B301
100,05,41221.0,民雄,樂育堂、工友室、游泳池、司令台、運動場,B101
100,05,46176.0,民雄,行政大樓、初教館,B102
100,05,26520.0,民雄,圖書館、教育館,B103
100,05,19217.0,民雄,科學館,B104
100,05,19166.0,民雄,人文館,B201
100,05,35089.0,民雄,音樂館、藝術館、新藝樓、文薈廳、社團教室,B202
100,05,10619.0,新民,明德樓,D302
100,05,69170.0,新民,管理學院B棟、司令台,D102
100,05,1300.0,新民,司令台,D301
100,05,297764.0,新民,管理學院A、B棟、明德樓、司令台、警衛室,D101
100,06,52802.0,蘭潭,行政大樓,A401
100,06,124423.0,蘭潭,電物一館、電物二館、應化二館、農藝場管理室,A203
100,06,43714.0,蘭潭,森林館、生物多樣性館、森林系溫室苗圃,A101
100,06,33096.0,蘭潭,動物科學館,A102
100,06,87948.0,蘭潭,學生活動中心,A403
100,06,4839.0,蘭潭,應化一館(理化館)3相4線110/190V,A202
100,06,25834.0,蘭潭,應化一館(理化館)3相220V,A201
100,06,10572.0,蘭潭,農藝場管理室,A114
100,06,37348.0,蘭潭,生物資源館,A303
100,06,127122.0,蘭潭,水生館、魚類保育研究中心,A301
100,06,13603.0,蘭潭,材料試驗場,A205
100,06,46923.0,蘭潭,國際交流學園,A104
100,06,65000.0,蘭潭,生命科學館,A302
100,06,79230.0,蘭潭,生農一館、生農二館、植醫系館、溫室,A103
100,06,14701.0,蘭潭,單身宿舍、蘭潭招待所,A405
100,06,3597.0,蘭潭,機械及能源學系、創新育成大樓、工友室、獸醫養殖池,A206
100,06,27081.0,蘭潭,游泳池、司令台、運動場,A406
100,06,16094.0,蘭潭,瑞穗館、警衛室、學生活動廣場,A404
100,06,83501.0,蘭潭,園藝技藝中心、溫室、生物機械產業實驗室,A105
100,06,26487.0,蘭潭,食品科學館,A304
100,06,22503.0,蘭潭,食品加工廠,A305
100,06,2021.0,蘭潭,生物機械產業實驗室,A207
100,06,30400.0,蘭潭,機電館、機能系二館,A208
100,06,None,蘭潭,生技健康館,A306
100,06,None,蘭潭,景觀學系大樓,A106
100,06,26946.0,蘭潭,園藝場管理室、溫室、水井,A108
100,06,195015.0,蘭潭,圖書資訊館,A408
100,06,153200.0,蘭潭,綜合教學大樓,A307
100,06,53209.0,蘭潭,蘭潭綜合大樓5-7F,A308
100,06,29833.0,蘭潭,蘭潭綜合大樓5-7F,A309
100,06,15729.0,蘭潭,蘭潭綜合大樓5-7F,A310
100,06,98.0,蘭潭,有機蔬菜溫室,A115
100,06,798.0,蘭潭,有機蔬菜溫室,A116
100,06,1164.0,蘭潭,生資系溫室,A311
100,06,438.0,蘭潭,菇舍,A109
100,06,7933.0,蘭潭,嘉禾館,A402
100,06,3624.0,蘭潭,動物試驗場,A110
100,06,659.0,蘭潭,木材利用工廠、水禽舍,A111
100,06,23.0,蘭潭,動物產品推廣中心,A112
100,06,660.0,蘭潭,水禽舍,A113
100,06,199814.0,民雄,綠園一舍、綠園二舍、餐廳、警衛室、學人宿舍,B301
100,06,51997.0,民雄,樂育堂、工友室、游泳池、司令台、運動場,B101
100,06,73079.0,民雄,行政大樓、初教館,B102
100,06,38458.0,民雄,圖書館、教育館,B103
