序號,代碼,校區,供水區,水號,水號格式1,裝置日期,供水區說明,識別碼,水號,繳費年月,水費年,水費月,用水度數,應繳金額,與去年比較增減度數
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),236,51180002015,101/09,101,09,38303.0,628049.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),246,51180002015,101/10,101,10,40798.0,668843.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),256,51180002015,101/11,101,11,35890.0,588596.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),266,51180002015,101/12,101,12,23126.0,379904.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),277,51180002015,102/01,102,01,21653.0,355821.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),288,51180002015,102/02,102,02,18390.0,302471.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),298,51180002015,102/03,102,03,18430.0,303125.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),306,51180002015,097/01,097,01,23775.0,390516.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),314,51180002015,097/02,097,02,23688.0,393721.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),458,51180002015,098/08,098,08,27699.0,454674.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),466,51180002015,098/09,098,09,29078.0,477221.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),474,51180002015,098/10,098,10,31140.0,510933.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),482,51180002015,098/11,098,11,29294.0,480752.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),490,51180002015,098/12,098,12,28587.0,469192.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),498,51180002015,099/01,099,01,32763.0,537470.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),506,51180002015,099/02,099,02,27121.0,445223.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),514,51180002015,099/03,099,03,27409.0,449932.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),522,51180002015,099/04,099,04,32604.0,534870.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),530,51180002015,099/05,099,05,31581.0,518145.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),538,51180002015,099/06,099,06,27938.0,458581.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),6,51180002015,099/07,099,07,32417.0,531813.0,-346.0
